deputado,partido,estado,voto
Gabriel Guimarães,PT,MG,NAO
Brunny,PR,MG,NAO
Aelton Freitas,PR,MG,NAO
Adelmo Carneiro Leão,PT,MG,NAO
Zenaide Maia,PR,RN,NAO
Rejane Dias,PT,PI,NAO
Paes Landim,PTB,PI,NAO
Marcelo Castro,PMDB,PI,NAO
Capitão Fábio Abreu,PTB,PI,NAO
Assis Carvalho,PT,PI,NAO
Helder Salomão,PT,ES,NAO
Givaldo Vieira,PT,ES,NAO
Wadih Damous,PT,RJ,NAO
Luiz Sérgio,PT,RJ,NAO
Leonardo Picciani,PMDB,RJ,NAO
Jean Wyllys,PSOL,RJ,NAO
Jandira Feghali,PCdoB,RJ,NAO
Glauber Braga,PSOL,RJ,NAO
Chico D'angelo,PT,RJ,NAO
Chico Alencar,PSOL,RJ,NAO
Celso Pansera,PMDB,RJ,NAO
Benedita da Silva,PT,RJ,NAO
Alessandro Molon,REDE,RJ,NAO
Vicente Arruda,PDT,CE,NAO
Odorico Monteiro,PROS,CE,NAO
Macedo,PP,CE,NAO
Luizianne Lins,PT,CE,NAO
Leônidas Cristino,PDT,CE,NAO
José Guimarães,PT,CE,NAO
José Airton Cirilo,PT,CE,NAO
Domingos Neto,PSD,CE,NAO
Chico Lopes,PCdoB,CE,NAO
Arnon Bezerra,PTB,CE,NAO
Ariosto Holanda,PDT,CE,NAO
Zé Carlos,PT,MA,NAO
Weverton Rocha,PDT,MA,NAO
Waldir Maranhão,PP,MA,NAO
Rubens Pereira Júnior,PCdoB,MA,NAO
Pedro Fernandes,PTB,MA,NAO
Junior Marreca,PEN,MA,NAO
João Marcelo Souza,PMDB,MA,NAO
Aluisio Mendes,PTN,MA,NAO
Vicentinho,PT,SP,NAO
Vicente Candido,PT,SP,NAO
Valmir Prascidelli,PT,SP,NAO
Paulo Teixeira,PT,SP,NAO
Orlando Silva,PCdoB,SP,NAO
Nilto Tatto,PT,SP,NAO
Luiza Erundina,PSOL,SP,NAO
José Mentor,PT,SP,NAO
Ivan Valente,PSOL,SP,NAO
Carlos Zarattini,PT,SP,NAO
Arlindo Chinaglia,PT,SP,NAO
Andres Sanchez,PT,SP,NAO
Ana Perugini,PT,SP,NAO
Valtenir Pereira,PMDB,MT,NAO
Ságuas Moraes,PT,MT,NAO
Vicentinho Júnior,PR,TO,NAO
Irajá Abreu,PSD,TO,NAO
Sibá Machado,PT,AC,NAO
Leo de Brito,PT,AC,NAO
César Messias,PSB,AC,NAO
Angelim,PT,AC,NAO
Erika Kokay,PT,DF,NAO
Rubens Otoni,PT,GO,NAO
Zeca do PT,PT,MS,NAO
Vander Loubet,PT,MS,NAO
Dagoberto,PDT,MS,NAO
Zeca Dirceu,PT,PR,NAO
Enio Verri,PT,PR,NAO
Assis do Couto,PDT,PR,NAO
Aliel Machado,REDE,PR,NAO
Zé Geraldo,PT,PA,NAO
Simone Morgado,PMDB,PA,NAO
Lúcio Vale,PR,PA,NAO
Elcione Barbalho,PMDB,PA,NAO
Edmilson Rodrigues,PSOL,PA,NAO
Beto Faro,PT,PA,NAO
Roberto Góes,PDT,AP,NAO
Professora Marcivania,PCdoB,AP,NAO
Jozi Araújo,PTN,AP,NAO
Janete Capiberibe,PSB,AP,NAO
Pedro Uczai,PT,SC,NAO
Décio Lima,PT,SC,NAO
Pepe Vargas,PT,RS,NAO
Paulo Pimenta,PT,RS,NAO
Maria do Rosário,PT,RS,NAO
Marcon,PT,RS,NAO
Marco Maia,PT,RS,NAO
Henrique Fontana,PT,RS,NAO
Bohn Gass,PT,RS,NAO
Afonso Motta,PDT,RS,NAO
Edio Lopes,PR,RR,NAO
Aníbal Gomes,PMDB,CE,AUSEN
Clarissa Garotinho,PR,RJ,AUSEN
Pompeo de Mattos,PDT,RS,ABST
Vinicius Gurgel,PR,AP,ABST
Beto Salame,PP,PA,ABST
Gorete Pereira,PR,CE,ABST
Cacá Leão,PP,BA,ABST
Mário Negromonte Jr.,PP,BA,ABST
Sebastião Oliveira,PR,PE,ABST
