id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178898;TenenteLucio;Tenente Lúcio;psb;MG;não;sim;não;sim;não;não;sim;sim;sim;não;não;sim;sim;não;sim;sim;sim;sim;sim;SIM
178901;TerezaCristina;Tereza Cristina;psb;MS;sim;não;não;sim;não;sim;sim;não votou;sim;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
160617;ThiagoPeixoto;Thiago Peixoto;psd;GO;sim;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
178862;TiaEron;Tia Eron;prb;BA;sim;sim;sim;não votou;sim;sim;sim;não;sim;não;sim;sim;sim;sim;não;não;não;sim;não;SIM
160976;Tiririca;Tiririca;pr;SP;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;sim;sim;sim;não;sim;não;sim;sim;SIM
160611;ToninhoPinheiro;Toninho Pinheiro;pp;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;não;sim;sim;SIM
178934;ToninhoWandscheer;Toninho Wandscheer;pt;PR;sim;não;sim;sim;não;não votou;não;não;não;não;não votou;sim;sim;sim;sim;sim;não;não votou;sim;SIM
178863;UlduricoJunior;Uldurico Junior;ptc;BA;sim;sim;sim;sim;não;não;sim;não;não;não;não;sim;não votou;sim;não;não;não;não votou;sim;SIM
141384;ValadaresFilho;Valadares Filho;psb;SE;não;sim;sim;sim;não;sim;sim;não;não votou;não;não;sim;sim;não;não;não votou;não votou;sim;não votou;SIM
74010;ValdirColatto;Valdir Colatto;pmdb;SC;sim;sim;não;sim;sim;sim;não votou;não votou;sim;não votou;sim;não votou;sim;sim;sim;sim;não;sim;não;SIM
113247;ValmirPrascidelli;Valmir Prascidelli;pt;SP;sim;sim;não votou;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;não votou;não;NAO
141552;ValtenirPereira;Valtenir Pereira;pros;MT;sim;sim;sim;não;sim;sim;não;não;sim;não;não votou;sim;sim;sim;sim;não;não;sim;não;NAO
141553;VanderleiMacris;Vanderlei Macris;psdb;SP;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não;sim;sim;abstenção;não votou;não;sim;não;sim;não;SIM
74376;VanderLoubet;Vander Loubet;pt;MS;não;não votou;sim;sim;não;não votou;não;não;não;não;não votou;sim;não votou;sim;sim;sim;não;não votou;sim;NAO
178913;VenezianoVitaldoRego;Veneziano Vital do Rêgo;pmdb;PB;não;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;SIM
74308;VicenteArruda;Vicente Arruda;pros;CE;sim;sim;sim;não;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO
160622;VicenteCandido;Vicente Candido;pt;SP;sim;não votou;não votou;não votou;não;não;7 não;não;não;não;não;sim;sim;sim;sim;sim;não;não votou;não;NAO
74283;Vicentinho;Vicentinho;pt;SP;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
137070;VicentinhoJunior;Vicentinho Júnior;psb;TO;não;não votou;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;sim;não;sim;sim;NAO
178888;VictorMendes;Victor Mendes;pv;MA;sim;não;sim;sim;não votou;não votou;sim;não;sim;sim;não;sim;sim;sim;sim;sim;não;sim;não;SIM
141555;ViniciusCarvalho;Vinicius Carvalho;prb;SP;não;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;não;sim;sim;não;não;sim;não;SIM
160591;ViniciusGurgel;Vinicius Gurgel;pr;AP;não votou;sim;não votou;sim;sim;sim;sim;sim;sim;não;não votou;sim;não;não votou;sim;sim;não;não votou;não;ABST
178992;VitorLippi;Vitor Lippi;psdb;SP;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;não;SIM
178869;VitorValim;Vitor Valim;pmdb;CE;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não votou;sim;sim;não;não;sim;sim;sim;sim;SIM
189593;WadihDamous;Wadih Damous;pt;RJ;não;sim;não;não;não;não;não;não;não votou;não;não votou;sim;sim;não votou;não votou;sim;não;sim;não;NAO
160569;WaldenorPereira;Waldenor Pereira;pt;BA;não;sim;não votou;não votou;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
141558;WaldirMaranhao;Waldir Maranhão;pp;MA;não votou;sim;sim;não votou;não;sim;sim;sim;não votou;sim;não votou;sim;não votou;sim;sim;não votou;não votou;não votou;não votou;NAO
178952;WalterAlves;Walter Alves;pmdb;RN;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;SIM
160620;WashingtonReis;Washington Reis;pmdb;RJ;sim;não votou;sim;não votou;não;não;não votou;sim;sim;sim;sim;não votou;sim;sim;sim;não votou;não votou;sim;não votou;SIM
160518;WelitonPrado;Weliton Prado;pt;MG;não;sim;sim;sim;sim;sim;abstção;abstenção;não;abstenção;não;abstenção;abstenção;não;não;abstenção;abstenção;abstenção;abstenção;SIM
74043;WellingtonRoberto;Wellington Roberto;pr;PB;sim;não votou;sim;sim;sim;não votou;sim;sim;sim;não;não votou;sim;sim;sim;sim;sim;não;sim;sim;NAO
167493;WevertonRocha;Weverton Rocha;pdt;MA;não votou;não votou;sim;sim;não;não;não;não;sim;não;não;sim;sim;não;não;sim;não;sim;sim;NAO
160636;WilsonFilho;Wilson Filho;ptb;PB;sim;não;sim;não votou;sim;sim;sim;não votou;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;SIM
73930;WladimirCosta;Wladimir Costa;solidaried;PA;não votou;não votou;sim;não votou;não votou;não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
74439;WolneyQueiroz;Wolney Queiroz;pdt;PE;não;não votou;sim;sim;não;não;não;não;não;não;não;sim;não votou;não;não;não;não;sim;sim;NAO
178923;ZecaCavalcanti;Zeca Cavalcanti;ptb;PE;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não votou;sim;sim;sim;não;não votou;sim;NAO
160592;ZecaDirceu;Zeca Dirceu;pt;PR;não;não votou;sim;não;não;não;não;não;não;não;não;não;sim;sim;sim;sim;não;sim;não;NAO
178889;ZeCarlos;Zé Carlos;pt;MA;não votou;sim;não;não;não;não;não;não;não;não;não;sim;sim;não votou;não votou;sim;não;sim;não;NAO
73931;ZeGeraldo;Zé Geraldo;pt;PA;não;não votou;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
178949;ZenaideMaia;Zenaide Maia;pr;RN;não;sim;sim;sim;não;não;sim;sim;abstenção;não;não;sim;sim;sim;sim;sim;não;sim;sim;NAO
160632;ZeSilva;Zé Silva;solidaried;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;sim;SIM
178957;AbelMesquitaJr;NA;pdt;RR;não;não;não votou;sim;não;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;SIM
133374;AdemirCamilo;NA;pros;MG;sim;sim;sim;sim;sim;sim;não;não;não;sim;sim;sim;não;não votou;não;sim;não;sim;sim;NA
133439;AndreFigueiredo;NA;pdt;CE;não votou;não votou;sim;sim;não;não;não;não;sim;não;não votou;sim;sim;não;não;não votou;não votou;sim;não votou;NA
74213;AntonioBalhmann;NA;pros;CE;não votou;não votou;não votou;não votou;sim;sim;7 não;sim;sim;não;não votou;sim;não;sim;sim;não votou;não votou;sim;não votou;SIM
